date,item,news,result
2024-06-14,KT," 제조업 설계도 클라우드로...KT, 비용 60% 절감  KT가 국내 클라우드 산업의 황무지라고 불리는 제조 R D 시장에 출사표를 던졌다. KT가 지난 3월 선보인 실시간 시물레이션 환경을  제공해주는...",0.6672626
2024-06-14,파두, 특징주  글로벌 기업 15억달러 투자설에 주가 요동친 파두  회사는 부인 - 조선비즈 글로벌 기업의 인수설에 팹리스 반도체 설계  기업 파두 440110  주가가 요동쳤다. 조선DB. 13일 한국거래소에 따르면 오후 1시  43분 기준 파두는 전...,0.712345
2024-06-14,제주반도체,제주반도체 주가 전망  6월 주목할 게임 IT 주식   온디바이스 AI  대표 관련주로 자리잡은 제주반도체 주가가 약보합세를 이어가고 있다.  온디바이스 AI 는 클라우드 서버가 아닌 기기  자체에 탑재된...,0.62665415
2024-06-14,HPSP,"HPSP YG엔터 등 상장사 49곳 코스닥 글로벌 기업 지정 증권   국내증시 뉴스  HPSP 403870 , 와이지엔터테인먼트 122870 . 더블유씨피 393890  등 11개 상장사가 코스닥  글로벌 기업으로 신규 지정됐다.",0.7078383
2024-06-14,포스코퓨처엠,"포스코퓨처엠, 하락 하루만에 5% 급등 28만원선 회복  이코노뉴스 원종서 기자  포스코퓨처엠이 가파른 상승세다.포스코퓨처엠은 11일 코스피 시장에서 오전 10시22분 현재 전 거래일 대비  4.73% 1만3000...",0.86649686
2024-06-14,하나기술," 뉴스핌 라씨로  하나기술  신사업  전고체 배터리 소재  고객사 품질테스트 진행 중  하나기술은 전고체 배터리용 황화물계 고체전해질과 그 원료가 되는 황화리튬 개발을 완료해, 1공장 내 파일럿 라인을 구축하고 연내  시생산 양산 전 단계 ...",0.7050627
2024-06-17,삼양식품,까르보 불닭 만든 힘은  팬심   식품업계 성공 키워드로 - 조선비즈 까르보 불닭 인기에 삼양식품 주가 올 들어 180% 폭등  한정판  까르보 정식 출시는  팬심 이 만들어 오리온도 포카칩 스윗치즈 8년  만 재출시,0.74673563
2024-06-17,에스엘," 유 에스엘, 장중 신고가 돌파.. 44450 45750 1300  증권   News봇 뉴스  오전 9시 4분 현재 에스엘 005850 이 9.19% 오른 45750원  3850 을 기록하며, 52주  신고가를 +1300원 경신했다. 기존 52주 ...",0.7126049
2024-06-17,한온시스템," 유 한온시스템, 장중 신저가 기록.. 4700 4690 10  증권   News봇 뉴스  오전 9시 2분 현재 한온시스템 018880 이 0.74% 내린 4690원  35 을 기록하며, 52주  신저가를 -10원 경신했다. 기존 52주 최저.",0.70482
2024-06-17,한미반도체," 핀셋+   한미반도체  SK-마이크론 HBM TC 본더 장비 납품 삼성은? 삼성 자회사 세메스 특허 분쟁 이후에도 거래, 한미반도체 장비 납품 검토는 진행 중.",0.7890831
2024-06-17,LG생활건강," 한달 만에 236% 쑥  LG생건,  강남글로우  선크림  서 초기 흥행몰이  더구루 한아름 기자  LG생활건강의 강남글로우 강남glow 가 미국 선크림 시장을 꽉 잡았다. 지난 4월 최대 전자상거래 업체  아마존에 출시하자마자...",0.734486
2024-06-17,에스디바이오센서,"식인 박테리아 포비아에 SD바이오센서 등 진단기기   껑충  바이오 맥짚기  13일 에스디바이오센서 137310 와 지노믹트리 228760 , 진시스템 363250  등 진단기기 관련 기업들의 주가가 상승세를  보였다. 이른바 식인 박테리아...",0.7372342
2024-06-17,코스맥스,"코스맥스엔비티, 수면 효율 극대화한 신제품 개발 코스맥스그룹의 건강기능식품 연구 개발 생산 ODM  기업 코스맥스엔비티 COSMAX NBT 가 수면 시간과 질을 모두 잡은 신형  아쉬아간다 추출물 건기식을...",0.79064643
2024-06-17,HL만도," 장중수급포착  HL만도, 외국인/기관 동시 순매수 주가 +4.53% 한눈에 보는 오늘   경제 - 뉴스    서울 뉴스핌  로보뉴스   17일 10시 15분 현재 HL만도 204320 는 외국인과 기관이  각각 2.32 만 주,...",0.7877716
2024-06-17,한일시멘트," 장중수급포착  한일시멘트, 외국인 18,208주 대량 순매수... 주가 +1.45%  서울 뉴스핌  로보뉴스   17일 10시 15분 현재 한일시멘트 300720 는 외국인이 18,208주 대량으로 순매수 잠정  하면서  전일 대비 1.45%  현재가...",0.7059453
2024-06-17,카카오페이," 유 카카오페이, 장중 신저가 기록.. 28600 28500 100  증권   News봇 뉴스  오전 11시 30분 현재 카카오페이 377300 가 0.52% 내린 28500원  150 을 기록하며,  52주 신저가를 -100원 경신했다. 기존 52주.",0.8004496
2024-06-17,브이티,"하나증권  화장품주 수출성장과 중국 e커머스 기대, 실리콘투 브이티 주목   비즈니스포스트  국내 주식시장에서 화장품주를 주목해야 한다는 증권가 의견이 나왔다.하나증권 리서치센터 글로벌투자분석실은 17일  하나구루아이...",0.7230238
2024-06-17,하나마이크론," 장중수급포착  하나마이크론, 외국인/기관 동시 순매수 주가 +1.14% 한눈에 보는 오늘   경제 - 뉴스    서울 뉴스핌  로보뉴스   17일 10시 15분 현재 하나마이크론 067310 은 외국인과  기관이 각각 0.53 만 주,...",0.7756569
