date,item,news,result
2024-07-02-10-02,KT,"KT, 장기가입 혜택 확대 휴가철 로밍 데이터 이벤트  티빙 최대 4000원 싸게 본다  KT, 유 무선 장기 가입자 혜택 개편 KT 강남광역본부, 청소년과 함께하는  힐링 진로캠프  개최 KT, 강남광역본부, 청소년과 함께하는  힐링 진로캠프  개최 ",0.34531802
2024-07-02-10-02,LG에너지솔루션,"트럼프 대선 청신호에 테슬라 다시 볕든다, LG에너지솔루션 수혜 주목 LG엔솔, 르노에서 첫 전기차용 LFP 배터리 대규모 수주  위기를 기회로 ...LG에너지솔루션, 전기차 대신 ESS 배터리 생산 확대 추진 LG엔솔  지역 상생  ESG 경영 눈길  저장강박 가구 일손 부족 농가까지 챙긴다  ",0.2376242
2024-07-02-10-02,LG전자,"함께 웃을까 삼성 LG전자 이번주 2분기 성적표 발표  나는 CEO가 될 거다 라던 신입사원 LG전자 조주완의 숨겨진 이야기 LG전자  한국서비스품질지수  가전제품 AS 부문 1위 LG전자, 인권 원칙 최초 제정  인간 존중 경영 실천  ",0.27128
2024-07-02-10-02,SK이노베이션," 특징주  SK이노베이션, 합병설에 울고 웃는 주가 ",0.3639996
2024-07-02-10-02,SK하이닉스,"고수, SK하이닉스 순매수 1위 자산가는 GS GS글로벌 베팅 외국인 하이닉스 2조 살 때   개미는 차익실현 낸드 AI  훈풍   기업용 반도체 시장 3분기도 좋다  최태원 SK 회장  AI  강조...SK하이닉스, HBM에 83조 쏟아붓는다 ",0.33866888
2024-07-02-10-02,골프존,"골프존파크,  우리끼리 운동회 보물찾기 행사  진행 골프존파크,  우리끼리 운동회 보물찾기 이벤트  진행 골프존파크, 우리끼리 운동회 보물찾기 이벤트 진행 제주삼다수 마스터스와 함께 아마추어 골프왕에 도전하세요! ",0.27265963
2024-07-02-10-02,두산에너빌리티,분당복합 현대화도 두산에너빌리티 380MW 가스터빈 채택 ,0.35763234
2024-07-02-10-02,에코프로머티,"1위 삼성전자 주가 2위 SK하이닉스 주가 3위 에코프로머티 주가, 6월 4주차 랭키파이 국내 주식 인기 종목 트렌드지수 순위 ...  특징주  에코프로머티, 블록딜 소식에 9%대 약세 ",0.2963741
2024-07-02-10-02,카카오,"카카오스타일 포스티 멤버십 도입  마일리지 혜택 강화  카카오, 중소상공인 성공 도우미  비즈니스 활용 사례집  발간 이번엔 카카오, 또 대형로펌과 맞붙는 개인정보위  그래도 융통성 생겼다  카카오, 주요 자회사 실적 부진 지속 목표가 6.8만 6만-대신 ",0.3982544
2024-07-02-10-02,포스코퓨처엠,"광남일보 배터리 음극재 핵심 원료  흑연  자립 앞당긴다 대보마그네틱, 포스코퓨처엠에 양극재 전자석 탈철기 공급 대보마그네틱, 포스코퓨처엠에 전자석 탈철기 51억 규모 공급 ",0.27081096
2024-07-02-10-02,피에스케이,"피에스케이, 2분기 시장 기대치 큰폭 상회 예상  피에스케이, 하반기부터는 국내 전공정 투자 모멘텀 부각  피에스케이, +1.78% 52주 신고가 - 조선비즈 한화투자증권   피에스케이 실적, 기대치 훌쩍 웃돌 것   목표가  ",0.33910012
2024-07-02-10-02,피에스케이홀딩스,"피에스케이, 2분기 시장 기대치 큰폭 상회 예상 피에스케이, +1.78% 52주 신고가 - 조선비즈 ",0.3566897
2024-07-02-10-02,한미반도체,"한미반도체, 창업주 별세 후 반년 새 무슨 일이  상속세액 확정 직후 주가 폭등 - 조선비즈 현대차증권  한미반도체, 미국 AI 반도체 전략적 투자기조 수혜 지속   경제PICK  한미  반도체 공급망 협력  강화... 대왕 고래  상황은? 피에스케이, 한미반도체 다음 반도체장비 주자? ",0.32975286
2024-07-02-10-02,한화에어로스페이스,"한화에어로, 베트남 총리에 항공 정비 사업 확대 제안 ",0.20602635
